team_abbr,league,full_name,espn_id,logo_url,primary_color,secondary_color,competition
VGU,Portugal,Vitória de Guimaraes,5309,https://a.espncdn.com/i/teamlogos/soccer/500/5309.png,#ffffff,#000000,por.1
VIZ,Portugal,Vizela,20995,https://a.espncdn.com/i/teamlogos/soccer/500/20995.png,#293dc2,#ff541c,por.1
ALA,Spain,Alavés,96,https://a.espncdn.com/i/teamlogos/soccer/500/96.png,#0000ff,#c3c3c3,esp.1
ALM,Spain,Almería,6832,https://a.espncdn.com/i/teamlogos/soccer/500/6832.png,#C8142F,#1a1a1a,esp.1
ATH,Spain,Athletic Club,93,https://a.espncdn.com/i/teamlogos/soccer/500/93.png,#C8142F,#0000ff,esp.1
ATM,Spain,Atlético Madrid,1068,https://a.espncdn.com/i/teamlogos/soccer/500/1068.png,#ca3624,#000099,esp.1
BET,Spain,Real Betis,244,https://a.espncdn.com/i/teamlogos/soccer/500/244.png,#288A00,#ccff00,esp.1
CVI,Spain,Celta Vigo,85,https://a.espncdn.com/i/teamlogos/soccer/500/85.png,#6cace4,#004996,esp.1
CÁD,Spain,Cádiz,3842,https://a.espncdn.com/i/teamlogos/soccer/500/3842.png,#ffff00,#1a1a1a,esp.1
ELC,Spain,Elche,3751,https://a.espncdn.com/i/teamlogos/soccer/500/3751.png,#ffffff,#288A00,esp.1
ESP,Spain,Espanyol,88,https://a.espncdn.com/i/teamlogos/soccer/500/88.png,#3366CC,#C8142F,esp.1
FCB,Spain,Barcelona,83,https://a.espncdn.com/i/teamlogos/soccer/500/83.png,#990000,#FCE38A,esp.1
GET,Spain,Getafe,2922,https://a.espncdn.com/i/teamlogos/soccer/500/2922.png,#0000ff,#C8142F,esp.1
GIR,Spain,Girona,9812,https://a.espncdn.com/i/teamlogos/soccer/500/9812.png,#C60000,#004996,esp.1
GRA,Spain,Granada,3747,https://a.espncdn.com/i/teamlogos/soccer/500/3747.png,#C8142F,#3366CC,esp.1
LPA,Spain,Las Palmas,98,https://a.espncdn.com/i/teamlogos/soccer/500/98.png,#ffff00,#3366CC,esp.1
MAL,Spain,Mallorca,84,https://a.espncdn.com/i/teamlogos/soccer/500/84.png,#C8142F,#ccff00,esp.1
OSA,Spain,Osasuna,97,https://a.espncdn.com/i/teamlogos/soccer/500/97.png,#cd0000,#ffffff,esp.1
RMA,Spain,Real Madrid,86,https://a.espncdn.com/i/teamlogos/soccer/500/86.png,#ffffff,#00529F,esp.1
RSO,Spain,Real Sociedad,89,https://a.espncdn.com/i/teamlogos/soccer/500/89.png,#3366CC,#ffdd00,esp.1
RVA,Spain,Rayo Vallecano,101,https://a.espncdn.com/i/teamlogos/soccer/500/101.png,#ffffff,#cd0000,esp.1
RVAL,Spain,Real Valladolid,95,https://a.espncdn.com/i/teamlogos/soccer/500/95.png,#7a2d9d,#ffffff,esp.1
