name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Albert Ramos,ESP,2019,30,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg/330px-Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg
Karen Khachanov,RUS,2019,30,29,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Karen_Khachanov_%282024_DC_Open%29_02.jpg/330px-Karen_Khachanov_%282024_DC_Open%29_02.jpg
Robin Haase,NED,2019,15,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Haase_RG19_%2814%29_%2848199227592%29.jpg/330px-Haase_RG19_%2814%29_%2848199227592%29.jpg
Matteo Berrettini,ITA,2019,43,25,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg/330px-Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg
David Goffin,BEL,2019,37,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg
Adrian Mannarino,FRA,2019,27,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Adrian_Mannarino_%282024_DC_Open%29_01_%28cropped%29.jpg/330px-Adrian_Mannarino_%282024_DC_Open%29_01_%28cropped%29.jpg
Paolo Lorenzi,ITA,2019,6,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Lorenzi_WM18_%285%29_%2828995075287%29.jpg/330px-Lorenzi_WM18_%285%29_%2828995075287%29.jpg
Philipp Kohlschreiber,GER,2019,21,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Kohlschreiber_WM16_%2814%29_%2827802915683%29.jpg/330px-Kohlschreiber_WM16_%2814%29_%2827802915683%29.jpg
Peter Gojowczyk,GER,2019,10,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Gojowczyk_MLC21_%283%29.jpg/330px-Gojowczyk_MLC21_%283%29.jpg
Dominic Thiem,AUT,2019,50,19,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Thiem_MCM23_%2861%29_%2852883593873%29.jpg/330px-Thiem_MCM23_%2861%29_%2852883593873%29.jpg
Ivo Karlovic,CRO,2019,11,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Karlovic_WM18_%285%29_%2830063301198%29.jpg/330px-Karlovic_WM18_%285%29_%2830063301198%29.jpg
Gilles Simon,FRA,2019,27,28,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Simon_WMQ22_%2821%29_%2852191360834%29.jpg/330px-Simon_WMQ22_%2821%29_%2852191360834%29.jpg
Steve Darcis,BEL,2019,5,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Darcis_WMQ14_%2819%29_%2814627029543%29.jpg/330px-Darcis_WMQ14_%2819%29_%2814627029543%29.jpg
Jaume Munar,ESP,2019,17,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Munar_RG19_%2828%29_%2848199153407%29.jpg/330px-Munar_RG19_%2828%29_%2848199153407%29.jpg
Benoit Paire,FRA,2019,34,29,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Paire_WMQ23_%2853061698501%29.jpg/330px-Paire_WMQ23_%2853061698501%29.jpg
