name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Emil Ruusuvuori,FIN,2021,23,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Emil_Ruusuvuori_%282023_DC_Open%29_02_%28cropped%29.jpg/330px-Emil_Ruusuvuori_%282023_DC_Open%29_02_%28cropped%29.jpg
Ricardas Berankis,LTU,2021,14,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Berankis_MLC21_%282%29_%2851601462247%29.jpg/330px-Berankis_MLC21_%282%29_%2851601462247%29.jpg
Casper Ruud,NOR,2021,58,18,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Ruud_RG22_%2858%29_%2852144535415%29.jpg/330px-Ruud_RG22_%2858%29_%2852144535415%29.jpg
Filip Krajinovic,SRB,2021,20,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg/330px-Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg
Denis Shapovalov,CAN,2021,31,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg/330px-Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg
Feliciano Lopez,ESP,2021,11,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lopez_F._RG21_%2810%29_%2851376399843%29.jpg/330px-Lopez_F._RG21_%2810%29_%2851376399843%29.jpg
Aljaz Bedene,SLO,2021,15,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Bedene_RG21_%289%29_%2851376184346%29.jpg/330px-Bedene_RG21_%289%29_%2851376184346%29.jpg
Jannik Sinner,ITA,2021,50,22,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Jannik_Sinner_2025_US_Open.jpg/330px-Jannik_Sinner_2025_US_Open.jpg
Cameron Norrie,GBR,2021,52,25,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Norrie_MCM23_%2817%29_%2852883520940%29.jpg/330px-Norrie_MCM23_%2817%29_%2852883520940%29.jpg
Albert Ramos,ESP,2021,24,25,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg/330px-Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg
Reilly Opelka,USA,2021,21,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg
Alex De Minaur,AUS,2021,25,25,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alex_de_Minaur_2024.jpg/330px-Alex_de_Minaur_2024.jpg
Laslo Djere,SRB,2021,23,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Djere_MCM22_%283%29_%2852036938695%29_edited.jpg/330px-Djere_MCM22_%283%29_%2852036938695%29_edited.jpg
Adrian Mannarino,FRA,2021,14,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Adrian_Mannarino_%282024_DC_Open%29_01_%28cropped%29.jpg/330px-Adrian_Mannarino_%282024_DC_Open%29_01_%28cropped%29.jpg
Andy Murray,GBR,2021,15,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/2015_Australian_Open_-_Andy_Murray_12_%28cropped%29.jpg/330px-2015_Australian_Open_-_Andy_Murray_12_%28cropped%29.jpg
Benoit Paire,FRA,2021,13,30,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Paire_WMQ23_%2853061698501%29.jpg/330px-Paire_WMQ23_%2853061698501%29.jpg
Matteo Berrettini,ITA,2021,42,13,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg/330px-Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg
Stefano Travaglia,ITA,2021,11,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Travaglia_WMQ18_%288%29_%2829680358098%29.jpg/330px-Travaglia_WMQ18_%288%29_%2829680358098%29.jpg
Arthur Rinderknech,FRA,2021,18,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rinderknech_MCM22_%2816%29_%2852036912945%29.jpg/330px-Rinderknech_MCM22_%2816%29_%2852036912945%29.jpg
Hugo Gaston,FRA,2021,9,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Gaston_BOR22_%2852084213579%29_%28edited%29.jpg/330px-Gaston_BOR22_%2852084213579%29_%28edited%29.jpg
Federico Delbonis,ARG,2021,24,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Delbonis_MCM22_%287%29_%2852036670954%29.jpg/330px-Delbonis_MCM22_%287%29_%2852036670954%29.jpg
Dennis Novak,AUT,2021,5,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Novak_RGQ22_%2814%29_%2852130042560%29.jpg/330px-Novak_RGQ22_%2814%29_%2852130042560%29.jpg
Mikael Ymer,SWE,2021,18,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Ymer_M._RGQ19_%2821%29_%2848002588912%29.jpg/330px-Ymer_M._RGQ19_%2821%29_%2848002588912%29.jpg
Roberto Bautista Agut,ESP,2021,30,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Bautista_Agut_MCM23_%2814%29_%2852883313449%29.jpg/330px-Bautista_Agut_MCM23_%2814%29_%2852883313449%29.jpg
Cristian Garin,CHI,2021,22,18,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Garin_WM19_%281%29_%2848521991327%29.jpg/330px-Garin_WM19_%281%29_%2848521991327%29.jpg
Peter Gojowczyk,GER,2021,13,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Gojowczyk_MLC21_%283%29.jpg/330px-Gojowczyk_MLC21_%283%29.jpg
Jenson Brooksby,USA,2021,15,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Brooksby_RG21_%2842%29_%2851376192761%29.jpg/330px-Brooksby_RG21_%2842%29_%2851376192761%29.jpg
Denis Kudla,USA,2021,9,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kudla_WMQ23_%2853061887904%29.jpg/330px-Kudla_WMQ23_%2853061887904%29.jpg
Bernabe Zapata Miralles,ESP,2021,5,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Zapata_Miralles_MCM22_%2811%29_%2852036395616%29.jpg/330px-Zapata_Miralles_MCM22_%2811%29_%2852036395616%29.jpg
Sam Querrey,USA,2021,10,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Querrey_RGQ22_%2833%29_%2852129529601%29.jpg/330px-Querrey_RGQ22_%2833%29_%2852129529601%29.jpg
Vasek Pospisil,CAN,2021,8,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Pospisil_WMQ23_%2853061116437%29.jpg/330px-Pospisil_WMQ23_%2853061116437%29.jpg
Marco Cecchinato,ITA,2021,16,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Cecchinato_RG18_%2842260493614%29.jpg/330px-Cecchinato_RG18_%2842260493614%29.jpg
Richard Gasquet,FRA,2021,14,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Gasquet_BOR22_%2852084213479%29.jpg/330px-Gasquet_BOR22_%2852084213479%29.jpg
Jiri Vesely,CZE,2021,10,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Vesely_MLC21_%2851603150925%29.jpg/330px-Vesely_MLC21_%2851603150925%29.jpg
Salvatore Caruso,ITA,2021,5,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Caruso_RG21_%2849%29_%2851376195376%29.jpg/330px-Caruso_RG21_%2849%29_%2851376195376%29.jpg
Henri Laaksonen,SUI,2021,9,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Laaksonen_RG22_%285%29_%2852144554585%29.jpg/330px-Laaksonen_RG22_%285%29_%2852144554585%29.jpg
Holger Rune,DEN,2021,7,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Rune_RG22_%284%29_%2852144534990%29.jpg/330px-Rune_RG22_%284%29_%2852144534990%29.jpg
Radu Albot,MDA,2021,6,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Radu_Albot_%282023_DC_Open%29_38_%28cropped%29.jpg/330px-Radu_Albot_%282023_DC_Open%29_38_%28cropped%29.jpg
Lucas Pouille,FRA,2021,5,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Pouille_WMQ23_%2853061116442%29.jpg/330px-Pouille_WMQ23_%2853061116442%29.jpg
Jaume Munar,ESP,2021,12,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Munar_RG19_%2828%29_%2848199153407%29.jpg/330px-Munar_RG19_%2828%29_%2848199153407%29.jpg
Gianluca Mager,ITA,2021,16,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Mager_RGQ19_%2840%29_%2848002702708%29.jpg/330px-Mager_RGQ19_%2840%29_%2848002702708%29.jpg
Daniel Altmaier,GER,2021,7,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Altmaier_RG22_%2824%29_%2852144567090%29.jpg/330px-Altmaier_RG22_%2824%29_%2852144567090%29.jpg
Carlos Alcaraz,ESP,2021,32,17,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Carlos_Alcaraz_-_240422_192324_%28cropped%29.jpg/330px-25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Carlos_Alcaraz_-_240422_192324_%28cropped%29.jpg
Marton Fucsovics,HUN,2021,26,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg/330px-M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg
Grigor Dimitrov,BUL,2021,24,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Grigor_Dimitrov_%282023_DC_Open%29_01.jpg/330px-Grigor_Dimitrov_%282023_DC_Open%29_01.jpg
Taylor Fritz,USA,2021,34,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Taylor_Fritz_-_Delray_Beach_Open_Final_Round_%28cropped%29.jpg/330px-Taylor_Fritz_-_Delray_Beach_Open_Final_Round_%28cropped%29.jpg
David Goffin,BEL,2021,14,15,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg
John Isner,USA,2021,23,14,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Isner_WM19_%2818%29_%2848522000702%29.jpg/330px-Isner_WM19_%2818%29_%2848522000702%29.jpg
Brandon Nakashima,USA,2021,17,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Brandon_Nakashima_%282024_DC_Open%29_01_%28cropped%29.jpg/330px-Brandon_Nakashima_%282024_DC_Open%29_01_%28cropped%29.jpg
Botic Van De Zandschulp,NED,2021,16,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Van_de_Zandschulp_MCM22_%2811%29_%2852036444288%29.jpg/330px-Van_de_Zandschulp_MCM22_%2811%29_%2852036444288%29.jpg
Rafael Nadal,ESP,2021,24,5,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rafael_Nadal_en_2024_%28cropped%29.jpg/330px-Rafael_Nadal_en_2024_%28cropped%29.jpg
Corentin Moutet,FRA,2021,12,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg
Dominic Thiem,AUT,2021,9,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Thiem_MCM23_%2861%29_%2852883593873%29.jpg/330px-Thiem_MCM23_%2861%29_%2852883593873%29.jpg
Andreas Seppi,ITA,2021,7,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Seppi_MLC21_%282%29.jpg/330px-Seppi_MLC21_%282%29.jpg
Nick Kyrgios,AUS,2021,7,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Kyrgios_WM19_%2875%29_%2848521949772%29.jpg/330px-Kyrgios_WM19_%2875%29_%2848521949772%29.jpg
Felix Auger Aliassime,CAN,2022,60,27,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg/330px-F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg
Roberto Bautista Agut,ESP,2022,40,21,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Bautista_Agut_MCM23_%2814%29_%2852883313449%29.jpg/330px-Bautista_Agut_MCM23_%2814%29_%2852883313449%29.jpg
Denis Shapovalov,CAN,2022,34,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg/330px-Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg
Pablo Carreno Busta,ESP,2022,37,25,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg/330px-Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg
Hubert Hurkacz,POL,2022,41,21,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hubi_Hurkacz_%282023_DC_Open%29_01.jpg/330px-Hubi_Hurkacz_%282023_DC_Open%29_01.jpg
Daniil Medvedev,RUS,2022,45,19,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Danill_Medvedev_Miami_2019_%28cropped%29.jpg/330px-Danill_Medvedev_Miami_2019_%28cropped%29.jpg
Roman Safiullin,RUS,2022,9,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Safiullin_MLC21_%2851602479998%29.jpg/330px-Safiullin_MLC21_%2851602479998%29.jpg
Casper Ruud,NOR,2022,51,22,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Ruud_RG22_%2858%29_%2852144535415%29.jpg/330px-Ruud_RG22_%2858%29_%2852144535415%29.jpg
Dusan Lajovic,SRB,2022,11,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Lajovic_MCM22_%2824%29_%2852036456588%29.jpg/330px-Lajovic_MCM22_%2824%29_%2852036456588%29.jpg
Filip Krajinovic,SRB,2022,19,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg/330px-Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg
Cristian Garin,CHI,2022,18,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Garin_WM19_%281%29_%2848521991327%29.jpg/330px-Garin_WM19_%281%29_%2848521991327%29.jpg
Alejandro Tabilo,CHI,2022,17,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Tabilo_RGQ23_%2852942983162%29.jpg/330px-Tabilo_RGQ23_%2852942983162%29.jpg
Matteo Berrettini,ITA,2022,32,12,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg/330px-Matteo_Berrettini_at_2025_Miami_Open_01_%28cropped%29_%28cropped%29.jpg
Jannik Sinner,ITA,2022,47,17,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Jannik_Sinner_2025_US_Open.jpg/330px-Jannik_Sinner_2025_US_Open.jpg
Ugo Humbert,FRA,2022,9,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ugo_Humbert%2C_Swiss_Indoors_Basel_%28cropped%29.jpg/330px-Ugo_Humbert%2C_Swiss_Indoors_Basel_%28cropped%29.jpg
Arthur Rinderknech,FRA,2022,22,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rinderknech_MCM22_%2816%29_%2852036912945%29.jpg/330px-Rinderknech_MCM22_%2816%29_%2852036912945%29.jpg
Alex De Minaur,AUS,2022,47,25,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alex_de_Minaur_2024.jpg/330px-Alex_de_Minaur_2024.jpg
Alexander Zverev,GER,2022,29,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Alexander_Zverev.jpg/330px-Alexander_Zverev.jpg
Jan Lennard Struff,GER,2022,8,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Struff_MCM23_%2837%29_%2852883307264%29.jpg/330px-Struff_MCM23_%2837%29_%2852883307264%29.jpg
Cameron Norrie,GBR,2022,49,27,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Norrie_MCM23_%2817%29_%2852883520940%29.jpg/330px-Norrie_MCM23_%2817%29_%2852883520940%29.jpg
Taylor Fritz,USA,2022,47,21,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Taylor_Fritz_-_Delray_Beach_Open_Final_Round_%28cropped%29.jpg/330px-Taylor_Fritz_-_Delray_Beach_Open_Final_Round_%28cropped%29.jpg
John Isner,USA,2022,23,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Isner_WM19_%2818%29_%2848522000702%29.jpg/330px-Isner_WM19_%2818%29_%2848522000702%29.jpg
Kamil Majchrzak,POL,2022,17,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Majchrzak_RG21_%282%29_%2851376823294%29.jpg/330px-Majchrzak_RG21_%282%29_%2851376823294%29.jpg
Diego Schwartzman,ARG,2022,31,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Schwartzman_WM19_%2824%29_%2848521748281%29.jpg/330px-Schwartzman_WM19_%2824%29_%2848521748281%29.jpg
Stefanos Tsitsipas,GRE,2022,61,24,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tsitsipas_S._MCM22_%28cropped%29.jpg/330px-Tsitsipas_S._MCM22_%28cropped%29.jpg
Federico Delbonis,ARG,2022,10,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Delbonis_MCM22_%287%29_%2852036670954%29.jpg/330px-Delbonis_MCM22_%287%29_%2852036670954%29.jpg
Nikoloz Basilashvili,GEO,2022,15,29,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Basilashvili_RG18_%2828110477447%29.jpg/330px-Basilashvili_RG18_%2828110477447%29.jpg
Gael Monfils,FRA,2022,14,7,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg
Karen Khachanov,RUS,2022,37,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Karen_Khachanov_%282024_DC_Open%29_02.jpg/330px-Karen_Khachanov_%282024_DC_Open%29_02.jpg
Thanasi Kokkinakis,AUS,2022,17,17,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Kokkinakis_WMQ23_%2853061887829%29.jpg/330px-Kokkinakis_WMQ23_%2853061887829%29.jpg
Marin Cilic,CRO,2022,33,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Cilic_MCM22_%2822%29_%2852036669749%29.jpg/330px-Cilic_MCM22_%2822%29_%2852036669749%29.jpg
Mikael Ymer,SWE,2022,23,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Ymer_M._RGQ19_%2821%29_%2848002588912%29.jpg/330px-Ymer_M._RGQ19_%2821%29_%2848002588912%29.jpg
Laslo Djere,SRB,2022,21,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Djere_MCM22_%283%29_%2852036938695%29_edited.jpg/330px-Djere_MCM22_%283%29_%2852036938695%29_edited.jpg
Taro Daniel,JPN,2022,13,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Taro_Daniel_%282025_DC_Open%29_02_%28cropped%29.jpg/330px-Taro_Daniel_%282025_DC_Open%29_02_%28cropped%29.jpg
Frances Tiafoe,USA,2022,35,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/FrancesTiafo.jpg/330px-FrancesTiafo.jpg
Soon Woo Kwon,KOR,2022,20,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Kwon_RG22_%2821%29_%2852144070731%29.jpg/330px-Kwon_RG22_%2821%29_%2852144070731%29.jpg
Corentin Moutet,FRA,2022,14,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg
Lorenzo Musetti,ITA,2022,34,29,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Musetti_MCM23_%2811%29_%2852883593753%29.jpg/330px-Musetti_MCM23_%2811%29_%2852883593753%29.jpg
Jiri Vesely,CZE,2022,8,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Vesely_MLC21_%2851603150925%29.jpg/330px-Vesely_MLC21_%2851603150925%29.jpg
John Millman,AUS,2022,9,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Millman_WM19_%2817%29_%2848521959092%29.jpg/330px-Millman_WM19_%2817%29_%2848521959092%29.jpg
Benjamin Bonzi,FRA,2022,21,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Bonzi_MLC21_%282%29_%2851602502868%29.jpg/330px-Bonzi_MLC21_%282%29_%2851602502868%29.jpg
Yoshihito Nishioka,JPN,2022,19,17,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Yoshi_Nishioka_%282023_DC_Open%29_05.jpg/330px-Yoshi_Nishioka_%282023_DC_Open%29_05.jpg
Roberto Carballes Baena,ESP,2022,11,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Carballes_Baena_RG19_%282%29_%2848199369226%29.jpg/330px-Carballes_Baena_RG19_%282%29_%2848199369226%29.jpg
Holger Rune,DEN,2022,40,24,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Rune_RG22_%284%29_%2852144534990%29.jpg/330px-Rune_RG22_%284%29_%2852144534990%29.jpg
Daniel Altmaier,GER,2022,5,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Altmaier_RG22_%2824%29_%2852144567090%29.jpg/330px-Altmaier_RG22_%2824%29_%2852144567090%29.jpg
Marton Fucsovics,HUN,2022,16,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg/330px-M%C3%A1rton_Fucsovics_%282023_US_Open%29_01_%28cropped%29.jpg
Francisco Cerundolo,ARG,2022,23,22,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Cerundolo_MCM23_%2821%29_%2852883527185%29.jpg/330px-Cerundolo_MCM23_%2821%29_%2852883527185%29.jpg
Rafael Nadal,ESP,2022,40,9,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rafael_Nadal_en_2024_%28cropped%29.jpg/330px-Rafael_Nadal_en_2024_%28cropped%29.jpg
Maxime Cressy,USA,2022,26,27,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Cressy_MCM23_%2839%29_%2852883156971%29.jpg/330px-Cressy_MCM23_%2839%29_%2852883156971%29.jpg
Emil Ruusuvuori,FIN,2022,35,29,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Emil_Ruusuvuori_%282023_DC_Open%29_02_%28cropped%29.jpg/330px-Emil_Ruusuvuori_%282023_DC_Open%29_02_%28cropped%29.jpg
Grigor Dimitrov,BUL,2022,26,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Grigor_Dimitrov_%282023_DC_Open%29_01.jpg/330px-Grigor_Dimitrov_%282023_DC_Open%29_01.jpg
Tallon Griekspoor,NED,2022,17,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Griekspoor_RG22_%281%29_%2852144112028%29.jpg/330px-Griekspoor_RG22_%281%29_%2852144112028%29.jpg
Alex Molcan,SVK,2022,26,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Molcan_RG22_%2824%29_%2852144316774%29.jpg/330px-Molcan_RG22_%2824%29_%2852144316774%29.jpg
Botic Van De Zandschulp,NED,2022,38,29,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Van_de_Zandschulp_MCM22_%2811%29_%2852036444288%29.jpg/330px-Van_de_Zandschulp_MCM22_%2811%29_%2852036444288%29.jpg
Jaume Munar,ESP,2022,19,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Munar_RG19_%2828%29_%2848199153407%29.jpg/330px-Munar_RG19_%2828%29_%2848199153407%29.jpg
Ricardas Berankis,LTU,2022,11,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Berankis_MLC21_%282%29_%2851601462247%29.jpg/330px-Berankis_MLC21_%282%29_%2851601462247%29.jpg
Alexei Popyrin,AUS,2022,5,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Popyrin_RG19_%2846%29_%2848199101562%29.jpg/330px-Popyrin_RG19_%2846%29_%2848199101562%29.jpg
David Goffin,BEL,2022,27,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-David_Goffin_%282024_DC_Open%29_03_%28cropped%29.jpg
Mackenzie Mcdonald,USA,2022,26,28,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Mackie_McDonald_%282023_DC_Open%29_01.jpg/330px-Mackie_McDonald_%282023_DC_Open%29_01.jpg
Facundo Bagnis,ARG,2022,7,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Bagnis_RGQ23_%2852943633766%29.jpg/330px-Bagnis_RGQ23_%2852943633766%29.jpg
Henri Laaksonen,SUI,2022,3,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Laaksonen_RG22_%285%29_%2852144554585%29.jpg/330px-Laaksonen_RG22_%285%29_%2852144554585%29.jpg
Reilly Opelka,USA,2022,21,15,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg
