name,team_abbr,season_year,position,games,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ts_pct,headshot
A.C. Green,LAL,1986,F,82,6.4,4.6,0.7,0.6,0.6,0.539,0.167,0.564,
A.C. Green,LAL,1987,F,79,10.8,7.8,1.1,0.9,1.0,0.538,0.0,0.599,
A.C. Green,LAL,1988,F,82,11.4,8.7,1.1,1.1,0.5,0.503,0.0,0.581,
A.C. Green,LAL,1989,F,82,13.3,9.0,1.3,1.1,0.7,0.529,0.235,0.594,
A.C. Green,LAL,1990,F,82,12.9,8.7,1.1,0.8,0.6,0.478,0.283,0.548,
A.C. Green,LAL,1991,F,82,9.1,6.3,0.9,0.7,0.3,0.476,0.2,0.556,
A.C. Green,LAL,1992,F,82,13.6,9.3,1.4,1.1,0.4,0.476,0.214,0.556,
A.C. Green,LAL,1993,F,82,12.8,8.7,1.4,1.1,0.5,0.537,0.348,0.603,
A.C. Green,PHX,1994,F,82,14.7,9.2,1.7,0.9,0.5,0.502,0.229,0.555,
A.C. Green,PHX,1995,F,82,11.2,8.2,1.5,0.7,0.4,0.504,0.339,0.596,
A.C. Green,PHX,1996,F,82,7.5,6.8,0.9,0.5,0.3,0.484,0.269,0.558,
A.C. Green,,1997,F,83,7.2,7.9,0.8,0.8,0.2,0.483,0.05,0.523,
A.C. Green,PHX,1997,F,27,5.7,5.1,0.6,0.7,0.0,0.477,0.0,0.513,
A.C. Green,DAL,1997,F,56,7.9,9.2,0.9,0.9,0.3,0.486,0.059,0.527,
A.C. Green,DAL,1998,F,82,7.3,8.1,1.5,1.0,0.3,0.453,0.0,0.496,
A.C. Green,DAL,1999,F,50,4.9,4.6,0.5,0.6,0.2,0.422,0.0,0.441,
A.C. Green,LAL,2000,F,82,5.0,5.9,1.0,0.6,0.2,0.447,0.25,0.482,
A.C. Green,MIA,2001,F,82,4.5,3.8,0.5,0.4,0.1,0.444,0.0,0.492,
A.J. English,WSB,1991,G,70,8.8,2.1,2.5,0.4,0.2,0.439,0.097,0.48,
A.J. English,WSB,1992,G,81,10.9,2.1,1.8,0.4,0.1,0.433,0.176,0.48,
A.J. Guyton,CHI,2001,G,33,6.0,1.1,1.9,0.3,0.2,0.406,0.391,0.495,
Aaron James,NOJ,1975,F,76,11.7,4.8,0.9,0.5,0.2,0.477,0.0,0.516,
Aaron James,NOJ,1976,F,75,9.0,3.3,0.8,0.4,0.1,0.441,0.0,0.495,
Aaron James,NOJ,1977,F,52,10.9,3.6,1.1,0.4,0.1,0.49,0.0,0.527,
Aaron James,NOJ,1978,F,80,12.2,5.3,1.4,0.5,0.3,0.497,0.0,0.523,
Aaron James,NOJ,1979,F,73,10.0,3.4,1.1,0.4,0.3,0.494,0.0,0.526,
Aaron McKie,POR,1995,G,45,6.5,2.9,2.0,0.8,0.4,0.444,0.393,0.5,
Aaron McKie,POR,1996,G,81,10.7,3.8,2.5,1.1,0.3,0.467,0.325,0.534,
Aaron McKie,,1997,G,83,5.2,2.7,1.9,0.9,0.3,0.411,0.398,0.524,
Aaron McKie,POR,1997,G,41,4.1,2.3,2.0,0.8,0.4,0.34,0.418,0.479,
Aaron McKie,DET,1997,G,42,6.3,3.0,1.8,1.0,0.2,0.464,0.375,0.558,
Aaron McKie,,1998,G,81,4.1,2.9,2.2,1.2,0.2,0.365,0.19,0.41,
Aaron McKie,DET,1998,F,24,4.5,2.8,1.6,1.0,0.0,0.413,0.176,0.478,
Aaron McKie,PHI,1998,G,57,3.9,2.9,2.4,1.4,0.2,0.347,0.196,0.383,
Aaron McKie,PHI,1999,G,50,4.8,2.8,2.0,1.3,0.1,0.401,0.194,0.454,
Aaron McKie,PHI,2000,G,82,8.0,3.0,2.9,1.3,0.2,0.411,0.364,0.497,
Aaron McKie,PHI,2001,G,76,11.6,4.1,5.0,1.4,0.1,0.473,0.312,0.549,
Aaron Williams,MIL,1995,F,15,1.6,1.3,0.0,0.1,0.4,0.333,0.0,0.41,
Aaron Williams,,1997,F,33,6.2,4.3,0.5,0.5,0.9,0.574,0.0,0.599,
Aaron Williams,VAN,1997,F,32,6.2,4.3,0.5,0.5,0.8,0.573,0.0,0.599,
Aaron Williams,SEA,1998,F,65,4.6,2.3,0.2,0.3,0.6,0.523,0.0,0.575,
Aaron Williams,SEA,1999,F,40,4.0,3.2,0.6,0.3,0.6,0.423,0.0,0.508,
Aaron Williams,WSH,2000,F,81,7.6,5.0,0.7,0.5,1.1,0.522,0.0,0.572,
Aaron Williams,NJN,2001,F,82,10.2,7.2,1.1,0.7,1.4,0.457,0.0,0.533,
Abdul Jeelani,POR,1980,F,77,9.6,3.5,1.2,0.5,0.5,0.51,0.0,0.563,
Abdul Jeelani,DAL,1981,F,66,8.4,3.5,1.0,0.7,0.5,0.425,0.0,0.515,
Acie Earl,BOS,1994,C,74,5.5,3.3,0.2,0.3,0.7,0.406,0.0,0.463,
Acie Earl,BOS,1995,C,30,2.2,1.5,0.1,0.2,0.3,0.382,0.0,0.409,
Acie Earl,TOR,1996,C,42,7.5,3.1,0.6,0.4,0.9,0.424,0.0,0.484,
Acie Earl,,1997,C,47,4.0,2.0,0.4,0.3,0.6,0.372,0.0,0.433,
Acie Earl,TOR,1997,C,38,4.3,2.2,0.5,0.3,0.7,0.376,0.0,0.431,
Adam Keefe,ATL,1993,F,82,6.6,5.3,1.0,0.7,0.2,0.5,0.0,0.564,
Adam Keefe,ATL,1994,F,63,4.3,3.2,0.5,0.3,0.1,0.451,0.0,0.521,
Adam Keefe,UTAH,1995,F,75,6.1,4.4,0.4,0.5,0.3,0.577,0.0,0.616,
Adam Keefe,UTAH,1996,F,82,6.1,5.5,0.8,0.6,0.5,0.52,0.0,0.574,
Adam Keefe,UTAH,1997,C,62,3.8,3.5,0.5,0.5,0.2,0.513,0.0,0.572,
Adam Keefe,UTAH,1998,C,80,7.8,5.5,1.1,0.7,0.3,0.54,0.0,0.605,
Adam Keefe,UTAH,1999,F,44,4.0,3.2,0.6,0.4,0.3,0.452,0.0,0.533,
Adam Keefe,UTAH,2000,C,62,2.2,2.2,0.5,0.3,0.2,0.408,0.0,0.463,
Adam Keefe,GS,2001,F,67,2.5,3.1,0.5,0.4,0.3,0.403,0.333,0.45,
Adonal Foyle,GS,1998,C,55,3.0,3.3,0.3,0.2,0.9,0.406,0.0,0.418,
Adonal Foyle,GS,1999,C,44,2.9,4.4,0.4,0.3,1.0,0.43,0.0,0.45,
Adonal Foyle,GS,2000,C,76,5.5,5.6,0.6,0.3,1.8,0.508,0.0,0.5,
Adonal Foyle,GS,2001,C,58,5.9,7.0,0.8,0.5,2.7,0.416,0.0,0.422,
Adrian Branch,LAL,1987,F,32,4.3,1.7,0.5,0.5,0.1,0.5,0.0,0.576,
Adrian Branch,NJN,1988,F,20,6.7,2.4,0.8,0.8,0.6,0.418,0.2,0.461,
Adrian Branch,POR,1989,F,67,7.4,2.0,0.9,0.7,0.0,0.463,0.226,0.509,
Adrian Branch,MIN,1990,F,11,5.9,1.8,0.4,0.5,0.0,0.41,1.0,0.46,
Adrian Caldwell,HOU,1990,F,51,1.9,2.1,0.1,0.2,0.4,0.553,0.0,0.549,
Adrian Caldwell,HOU,1991,F,42,1.8,2.4,0.2,0.5,0.2,0.422,0.0,0.426,
Adrian Caldwell,IND,1996,F,51,2.2,2.2,0.1,0.2,0.1,0.554,0.0,0.556,
Adrian Caldwell,,1997,F,45,2.2,3.7,0.3,0.4,0.2,0.435,0.0,0.443,
Adrian Caldwell,NJN,1997,F,18,1.6,3.1,0.3,0.4,0.1,0.286,0.0,0.341,
Adrian Caldwell,PHI,1997,F,27,2.7,4.1,0.3,0.3,0.3,0.526,0.0,0.503,
Adrian Dantley,BUF,1977,F,77,20.3,7.6,1.9,1.2,0.2,0.52,0.0,0.601,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,,1978,F,79,21.5,7.8,3.2,1.5,0.3,0.512,0.0,0.595,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,IND,1978,F,23,26.5,9.4,2.8,2.1,0.7,0.499,0.0,0.587,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,LAL,1978,F,56,19.4,7.2,3.4,1.2,0.1,0.52,0.0,0.599,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,LAL,1979,F,60,17.3,5.7,2.3,1.1,0.2,0.51,0.0,0.589,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1980,F,68,28.0,7.6,2.8,1.4,0.2,0.576,0.0,0.635,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1981,F,80,30.6,6.4,4.0,1.4,0.2,0.559,0.286,0.622,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1982,F,81,30.3,6.3,4.0,1.2,0.2,0.57,0.333,0.631,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1983,F,22,30.7,6.4,4.8,0.9,0.0,0.58,0.0,0.661,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1984,F,79,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.652,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1985,F,55,26.6,5.9,3.4,1.0,0.1,0.531,0.0,0.607,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,UTAH,1986,F,76,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.629,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,DET,1987,F,81,21.5,4.1,2.0,0.8,0.1,0.534,0.167,0.614,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,DET,1988,F,69,20.0,3.3,2.5,0.6,0.1,0.514,0.0,0.619,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,,1989,F,73,19.2,4.3,2.3,0.6,0.2,0.493,0.0,0.581,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,DET,1989,F,42,18.4,3.9,2.2,0.5,0.1,0.521,0.0,0.613,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,DAL,1989,F,31,20.3,4.9,2.5,0.6,0.2,0.462,0.0,0.546,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,DAL,1990,F,45,14.7,3.8,1.8,0.4,0.2,0.477,0.0,0.556,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Dantley,MIL,1991,F,10,5.7,1.3,0.9,0.5,0.0,0.38,0.333,0.464,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg/330px-Adrian_Dantley_%2838259978012%29_%28cropped%29.jpg
Adrian Griffin,BOS,2000,G,72,6.7,5.2,2.5,1.6,0.2,0.424,0.281,0.503,
Adrian Griffin,BOS,2001,F,44,2.1,2.0,0.6,0.4,0.1,0.34,0.346,0.432,
Adrian Smith,CIN,1962,G,80,7.2,1.9,2.1,0.0,0.0,0.405,0.0,0.483,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1963,G,79,8.9,2.2,1.8,0.0,0.0,0.443,0.0,0.53,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1964,G,66,9.4,2.2,2.2,0.0,0.0,0.406,0.0,0.469,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1965,G,80,15.1,2.8,3.0,0.0,0.0,0.456,0.0,0.519,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1966,G,80,18.4,3.6,3.2,0.0,0.0,0.405,0.0,0.483,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1967,G,81,16.6,2.5,2.3,0.0,0.0,0.438,0.0,0.512,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1968,G,82,15.6,2.3,3.3,0.0,0.0,0.464,0.0,0.531,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1969,G,73,9.6,1.4,1.7,0.0,0.0,0.432,0.0,0.517,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,,1970,G,77,5.9,1.1,1.7,0.0,0.0,0.368,0.0,0.467,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,CIN,1970,G,32,5.4,1.0,1.4,0.0,0.0,0.405,0.0,0.493,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,SFW,1970,G,45,6.4,1.1,1.9,0.0,0.0,0.347,0.0,0.452,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Adrian Smith,SFW,1971,G,21,5.3,1.1,1.4,0.0,0.0,0.427,0.0,0.518,https://upload.wikimedia.org/wikipedia/commons/7/71/Adrian_Smith_Royals.jpg
Al Attles,PHW,1961,G,77,7.0,2.8,2.3,0.0,0.0,0.409,0.0,0.44,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,PHW,1962,G,75,11.3,4.7,4.4,0.0,0.0,0.474,0.0,0.501,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1963,G,71,10.4,2.9,2.6,0.0,0.0,0.478,0.0,0.51,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1964,G,70,10.9,3.4,2.8,0.0,0.0,0.452,0.0,0.501,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1965,G,73,9.3,3.3,2.8,0.0,0.0,0.384,0.0,0.434,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1966,G,79,11.2,4.1,2.8,0.0,0.0,0.503,0.0,0.528,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1967,G,69,7.4,4.7,3.9,0.0,0.0,0.454,0.0,0.48,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1968,G,67,9.8,4.1,5.8,0.0,0.0,0.467,0.0,0.515,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1969,G,51,8.2,3.5,6.0,0.0,0.0,0.451,0.0,0.493,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1970,G,45,5.1,1.6,3.2,0.0,0.0,0.386,0.0,0.459,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Attles,SFW,1971,G,34,2.0,1.2,1.7,0.0,0.0,0.407,0.0,0.472,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Al_Attles_1970_%28cropped%29.JPG/330px-Al_Attles_1970_%28cropped%29.JPG
Al Bianchi,SYR,1957,G,68,8.3,3.3,1.6,0.0,0.0,0.351,0.0,0.419,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,SYR,1958,G,69,8.3,3.2,1.7,0.0,0.0,0.344,0.0,0.398,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,SYR,1959,G,72,10.0,2.8,2.2,0.0,0.0,0.377,0.0,0.425,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,SYR,1960,G,69,7.7,2.6,2.4,0.0,0.0,0.366,0.0,0.412,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,SYR,1961,G,52,5.7,2.0,1.8,0.0,0.0,0.345,0.0,0.389,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,SYR,1962,G,80,10.3,3.5,3.3,0.0,0.0,0.397,0.0,0.437,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,SYR,1963,G,61,8.6,2.2,2.8,0.0,0.0,0.424,0.0,0.478,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,PHI,1964,G,78,8.0,1.9,1.9,0.0,0.0,0.376,0.0,0.418,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,PHI,1965,G,60,6.7,1.6,2.3,0.0,0.0,0.36,0.0,0.389,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Bianchi,PHI,1966,G,78,6.3,1.7,1.7,0.0,0.0,0.382,0.0,0.41,https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Bianchi_1958.jpeg
Al Butler,,1962,G,59,14.0,5.7,3.5,0.0,0.0,0.463,0.0,0.496,
Al Butler,NY,1962,G,54,14.7,6.0,3.7,0.0,0.0,0.463,0.0,0.496,
Al Butler,NY,1963,G,74,10.0,2.3,2.1,0.0,0.0,0.439,0.0,0.487,
Al Butler,NY,1964,G,76,8.7,2.2,2.1,0.0,0.0,0.422,0.0,0.471,
Al Butler,BAL,1965,G,25,2.4,0.8,0.5,0.0,0.0,0.329,0.0,0.371,
Al Carlson,SEA,1976,C,28,2.6,2.6,0.5,0.2,0.4,0.342,0.0,0.392,
Al Cervi,SYR,1950,G,56,10.2,0.0,4.7,0.0,0.0,0.332,0.0,0.491,
Al Cervi,SYR,1951,G,53,8.6,2.9,3.9,0.0,0.0,0.382,0.0,0.509,
Al Cervi,SYR,1952,G,55,7.6,1.6,2.7,0.0,0.0,0.354,0.0,0.536,
Al Cervi,SYR,1953,G,38,3.8,0.6,0.7,0.0,0.0,0.437,0.0,0.622,
Al Eberhard,DET,1975,F,34,2.3,1.4,0.5,0.4,0.0,0.365,0.0,0.419,
Al Eberhard,DET,1976,F,81,9.3,4.8,1.0,1.1,0.2,0.414,0.0,0.483,
Al Eberhard,DET,1977,F,68,6.9,3.2,0.7,0.7,0.2,0.476,0.0,0.534,
Al Eberhard,DET,1978,F,37,4.9,2.8,0.7,0.4,0.1,0.444,0.0,0.49,
Al Ferrari,STL,1956,F,68,8.0,2.7,2.4,0.0,0.0,0.358,0.0,0.428,
Al Ferrari,STL,1959,G,72,5.7,2.0,1.7,0.0,0.0,0.348,0.0,0.437,
Al Ferrari,STL,1960,G,71,8.6,2.3,2.6,0.0,0.0,0.413,0.0,0.489,
Al Ferrari,STL,1961,G,63,5.2,1.8,2.3,0.0,0.0,0.357,0.0,0.434,
Al Ferrari,STL,1962,G,79,7.5,2.7,4.0,0.0,0.0,0.357,0.0,0.436,
Al Ferrari,CHZ,1963,G,18,2.1,0.7,0.8,0.0,0.0,0.324,0.0,0.427,
Al Fleming,SEA,1978,F,20,2.0,1.5,0.3,0.0,0.2,0.484,0.0,0.52,
Al Guokas,,1950,F,57,3.8,0.0,1.7,0.0,0.0,0.311,0.0,0.333,
Al Guokas,DNN,1950,F,41,4.8,0.0,2.1,0.0,0.0,0.317,0.0,0.338,
Al Guokas,PHW,1950,F,16,1.1,0.0,0.6,0.0,0.0,0.25,0.0,0.29,
Al Hairston,SEA,1969,G,39,2.2,0.9,1.0,0.0,0.0,0.333,0.0,0.35,
Al Harrington,IND,1999,F,21,2.1,1.9,0.2,0.2,0.1,0.321,0.0,0.359,
Al Harrington,IND,2000,F,50,6.6,3.2,0.8,0.5,0.2,0.458,0.235,0.524,
Al Harrington,IND,2001,F,78,7.5,4.9,1.7,0.8,0.2,0.444,0.143,0.479,
Al Henry,PHI,1972,C,43,4.3,3.2,0.2,0.0,0.0,0.436,0.0,0.497,
Al Masino,MLH,1953,G,72,5.5,2.5,2.2,0.0,0.0,0.335,0.0,0.404,
Al Masino,,1954,G,27,3.0,1.0,0.8,0.0,0.0,0.419,0.0,0.491,
Al Masino,ROC,1954,G,11,2.1,0.6,0.6,0.0,0.0,0.5,0.0,0.54,
Al Masino,SYR,1954,G,16,3.7,1.3,0.9,0.0,0.0,0.391,0.0,0.474,
Al Roges,BLB,1954,F,67,8.5,3.2,2.4,0.0,0.0,0.358,0.0,0.411,
Al Roges,,1955,G,17,3.6,1.4,1.1,0.0,0.0,0.377,0.0,0.426,
Al Skinner,NYN,1977,G,79,12.6,4.6,3.7,1.3,0.7,0.431,0.0,0.49,
Al Skinner,,1978,G,77,7.9,2.9,1.9,0.8,0.3,0.455,0.0,0.525,
Al Skinner,DET,1978,G,69,7.0,2.5,1.6,0.8,0.2,0.468,0.0,0.531,
Al Skinner,,1979,G,45,6.2,1.9,2.0,0.9,0.1,0.425,0.0,0.532,
Al Skinner,NJN,1979,G,23,7.9,1.8,2.1,1.0,0.1,0.44,0.0,0.565,
Al Skinner,PHI,1979,G,22,4.5,2.0,1.8,0.8,0.0,0.404,0.0,0.48,
Al Tucker,SEA,1968,F,81,13.1,7.5,1.4,0.0,0.0,0.442,0.0,0.48,
Al Tucker,,1969,F,84,10.5,5.2,0.9,0.0,0.0,0.446,0.0,0.48,
Al Tucker,SEA,1969,F,56,10.3,5.7,1.0,0.0,0.0,0.432,0.0,0.468,
Al Tucker,CIN,1969,F,28,10.8,4.4,0.7,0.0,0.0,0.475,0.0,0.507,
Al Tucker,,1970,F,61,5.9,2.7,0.6,0.0,0.0,0.512,0.0,0.56,
Al Tucker,CHI,1970,F,33,7.0,3.4,0.9,0.0,0.0,0.513,0.0,0.553,
Al Tucker,BAL,1970,F,28,4.7,1.9,0.2,0.0,0.0,0.51,0.0,0.572,
Al Tucker,BAL,1971,F,31,4.2,2.4,0.2,0.0,0.0,0.452,0.0,0.501,
Al Wood,,1982,G,48,9.5,2.8,1.2,0.6,0.2,0.47,0.125,0.524,
Al Wood,ATL,1982,G,19,4.8,2.3,0.6,0.5,0.1,0.343,0.0,0.392,
Al Wood,SDC,1982,G,29,12.5,3.1,1.6,0.8,0.3,0.518,0.167,0.573,
Al Wood,SDC,1983,F,76,10.9,3.1,1.8,0.7,0.5,0.464,0.3,0.509,
Al Wood,SEA,1984,G,81,14.3,3.4,2.0,0.8,0.4,0.494,0.143,0.545,
Al Wood,SEA,1985,G,80,15.0,3.5,3.0,1.1,0.7,0.485,0.212,0.521,
Al Wood,SEA,1986,G,78,11.6,3.1,1.5,0.7,0.2,0.435,0.135,0.489,
Al Wood,DAL,1987,G,54,6.6,1.7,0.6,0.4,0.2,0.39,0.28,0.482,
Alaa Abdelnaby,POR,1991,F,43,3.1,2.1,0.3,0.1,0.3,0.474,0.0,0.499,
Alaa Abdelnaby,POR,1992,F,71,6.1,3.7,0.4,0.4,0.2,0.493,0.0,0.533,
Alaa Abdelnaby,,1993,F,75,7.7,4.5,0.4,0.3,0.3,0.518,0.0,0.551,
Alaa Abdelnaby,MIL,1993,F,12,5.3,3.1,0.8,0.5,0.3,0.464,0.0,0.508,
Alaa Abdelnaby,BOS,1993,F,63,8.2,4.8,0.3,0.3,0.3,0.525,0.0,0.557,
Alaa Abdelnaby,BOS,1994,F,13,4.9,3.5,0.2,0.2,0.2,0.436,0.0,0.485,
Alaa Abdelnaby,,1995,F,54,4.7,2.1,0.2,0.3,0.2,0.511,0.0,0.519,
Alaa Abdelnaby,SAC,1995,F,51,5.0,2.1,0.3,0.3,0.2,0.532,0.0,0.54,
Alan Hardy,LAL,1981,G,22,2.3,0.9,0.1,0.0,0.4,0.373,0.0,0.402,
Alan Hardy,DET,1982,G,38,3.7,0.9,0.5,0.2,0.1,0.456,0.0,0.477,
Alan Henderson,ATL,1996,F,79,6.4,4.5,0.6,0.6,0.5,0.442,0.0,0.482,
Alan Henderson,ATL,1997,F,30,6.6,3.9,0.8,0.7,0.2,0.475,0.0,0.51,
Alan Henderson,ATL,1998,F,69,14.3,6.4,1.1,0.6,0.5,0.485,0.5,0.534,
Alan Henderson,ATL,1999,F,38,12.5,6.6,0.7,0.9,0.5,0.442,0.0,0.485,
Alan Henderson,ATL,2000,F,82,13.2,7.0,0.9,1.0,0.7,0.461,0.1,0.503,
Alan Henderson,ATL,2001,F,73,10.5,5.6,0.7,0.7,0.4,0.444,0.0,0.487,
